OVRO-LWA antenna coordinates						
updated by dpw 2020MAY05				OVRO lease East boundary is 424m east of 0 and the North boundary is 1141 m north of 0		
	asbuilt					
antenna #	X	Y	Z	Radius	origin	medium	FPGA
LWA-1	67.40	74.92	1184.219181	101	container	LMR200	1
LWA-2	64.18	65.32	1183.971339	92	container	LMR200	1
LWA-3	74.21	61.77	1184.521680	97	container	LMR200	1
LWA-4	62.87	47.06	1184.048565	79	container	LMR200	1
LWA-5	83.92	42.53	1184.388447	94	container	LMR200	1
LWA-6	70.75	36.69	1184.128017	80	container	LMR200	1
LWA-7	91.33	35.94	1184.379111	98	container	LMR200	1
LWA-9	70.10	24.00	1183.874611	74	container	LMR200	1
LWA-10	61.09	21.69	1183.872578	65	container	LMR200	1
LWA-11	80.95	19.31	1183.938609	83	container	LMR200	1
LWA-12	80.22	12.77	1183.884816	81	container	LMR200	8
LWA-13	72.38	5.97	1183.733546	73	container	LMR200	8
LWA-14	60.52	5.60	1183.996867	61	container	LMR200	8
LWA-15	95.95	0.63	1184.042988	96	container	LMR200	8
LWA-17	73.91	-6.20	1183.766348	74	container	LMR200	8
LWA-18	92.00	-7.14	1183.833535	92	container	LMR200	8
LWA-19	65.52	-14.50	1183.791736	67	container	LMR200	8
LWA-20	78.09	-16.40	1183.882768	80	container	LMR200	8
LWA-21	101.51	-20.34	1184.520375	104	container	LMR200	8
LWA-22	67.47	-22.80	1183.756891	71	container	LMR200	8
LWA-23	86.08	-26.96	1184.081349	90	container	LMR200	8
LWA-24	62.45	-28.47	1183.710339	69	container	LMR200	8
LWA-25	92.91	-31.93	1184.201313	98	container	LMR200	8
LWA-26	69.68	-34.99	1183.633596	78	container	LMR200	8
LWA-27	81.66	-35.06	1184.030143	89	container	LMR200	8
LWA-28	63.88	-43.75	1183.680234	77	container	LMR200	7
LWA-29	97.71	-49.36	1183.654618	109	container	LMR200	8
LWA-30	80.85	-52.12	1183.586854	96	container	LMR200	7
LWA-31	64.66	-54.99	1183.698803	85	container	LMR200	7
LWA-32	67.20	-69.12	1184.051051	96	container	LMR200	7
LWA-33	43.72	92.39	1184.136752	102	container	LMR200	2
LWA-34	56.64	73.48	1183.824691	93	container	LMR200	1
LWA-35	43.70	66.37	1183.895687	79	container	LMR200	2
LWA-36	35.04	64.90	1183.993562	74	container	LMR200	2
LWA-37	43.60	56.90	1183.950469	72	container	LMR200	1
LWA-38	55.49	56.99	1183.660744	80	container	LMR200	1
LWA-39	35.41	55.99	1184.001336	66	container	LMR200	2
LWA-40	47.13	51.13	1183.916770	70	container	LMR200	1
LWA-41	34.57	40.92	1184.122123	54	container	LMR200	1
LWA-42	51.88	38.74	1183.925406	65	container	LMR200	1
LWA-43	42.73	25.72	1184.177560	50	container	LMR200	1
LWA-44	53.30	20.83	1184.013498	57	container	LMR200	1
LWA-45	41.58	15.81	1184.074100	44	container	LMR200	1
LWA-46	56.12	13.00	1183.945308	58	container	LMR200	1
LWA-47	41.07	7.43	1184.022556	42	container	LMR200	1
LWA-48	36.81	-1.78	1183.842522	37	container	LMR200	8
LWA-49	43.68	-5.21	1183.822607	44	container	LMR200	8
LWA-50	48.22	-7.45	1183.841457	49	container	LMR200	8
LWA-51	37.95	-10.64	1183.928916	39	container	LMR200	8
LWA-52	45.47	-11.78	1183.823011	47	container	LMR200	8
LWA-53	45.34	-18.36	1183.911414	49	container	LMR200	8
LWA-54	43.81	-26.44	1183.920900	51	container	LMR200	7
LWA-55	48.07	-34.34	1183.822336	59	container	LMR200	7
LWA-56	38.35	-34.58	1183.746992	52	container	LMR200	7
LWA-57	43.70	-43.02	1183.599673	61	container	LMR200	7
LWA-58	53.54	-48.49	1183.539091	72	container	LMR200	7
LWA-59	43.26	-56.33	1183.595343	71	container	LMR200	7
LWA-61	36.73	-64.94	1183.739784	75	container	LMR200	7
LWA-62	56.33	-72.77	1183.727733	92	container	LMR200	7
LWA-64	46.61	-89.14	1183.822769	101	container	LMR200	7
LWA-65	27.84	98.86	1184.199223	103	container	LMR200	2
LWA-66	31.00	89.26	1184.016875	94	container	LMR200	2
LWA-67	23.50	83.23	1183.964107	86	container	LMR200	2
LWA-68	29.70	76.72	1183.933274	82	container	LMR200	2
LWA-69	26.93	66.74	1184.046819	72	container	LMR200	2
LWA-70	16.48	54.06	1183.924793	57	container	LMR200	2
LWA-71	26.49	34.66	1184.138387	44	container	LMR200	1
LWA-72	16.81	30.90	1183.737669	35	container	LMR200	2
LWA-73	30.60	29.31	1184.080690	42	container	LMR200	1
LWA-74	33.26	20.03	1184.064749	39	container	LMR200	1
LWA-75	21.41	18.12	1183.910549	28	container	LMR200	1
LWA-76	20.08	9.61	1184.041346	22	container	LMR200	0
LWA-77	30.40	9.31	1183.914609	32	container	LMR200	1
LWA-78	25.13	6.14	1184.194048	26	container	LMR200	0
LWA-79	17.76	2.61	1184.328868	18	container	LMR200	0
LWA-80	31.53	-5.28	1184.001051	32	container	LMR200	8
LWA-81	21.06	-8.72	1184.349282	23	container	LMR200	0
LWA-82	24.28	-16.49	1184.279786	29	container	LMR200	8
LWA-83	30.88	-18.67	1184.176193	36	container	LMR200	8
LWA-84	34.22	-22.45	1184.098124	41	container	LMR200	8
LWA-85	23.85	-30.04	1184.013949	38	container	LMR200	7
LWA-86	32.33	-33.03	1183.904867	46	container	LMR200	7
LWA-87	18.91	-37.86	1183.694150	42	container	LMR200	7
LWA-88	28.73	-44.10	1183.505741	53	container	LMR200	7
LWA-89	17.59	-52.73	1183.736737	56	container	LMR200	7
LWA-90	25.31	-60.59	1183.834444	66	container	LMR200	7
LWA-91	24.45	-67.76	1183.932701	72	container	LMR200	7
LWA-92	30.35	-74.75	1183.989339	81	container	LMR200	7
LWA-93	31.47	-83.40	1183.971029	89	container	LMR200	7
LWA-94	17.78	-84.19	1183.947900	86	container	LMR200	7
LWA-95	27.34	-93.11	1183.814174	97	container	LMR200	7
LWA-97	10.10	100.93	1184.139304	101	container	LMR200	2
LWA-98	10.37	77.33	1184.365566	78	container	LMR200	2
LWA-99	11.35	67.43	1184.239819	68	container	LMR200	2
LWA-100	4.43	59.06	1183.897315	59	container	LMR200	2
LWA-101	10.65	51.20	1183.752215	52	container	LMR200	2
LWA-102	-0.78	50.85	1183.767093	51	container	LMR200	2
LWA-103	2.96	46.35	1183.886746	46	container	LMR200	2
LWA-104	12.06	45.05	1183.793920	47	container	LMR200	2
LWA-105	13.01	38.03	1183.769920	40	container	LMR200	2
LWA-106	5.56	36.31	1183.785882	37	container	LMR200	2
LWA-107	10.95	27.89	1183.871539	30	container	LMR200	0
LWA-108	10.01	17.21	1184.012594	20	container	LMR200	0
LWA-109	2.88	15.69	1184.059015	16	container	LMR200	0
LWA-110	-0.85	12.42	1184.108605	12	container	LMR200	0
LWA-111	11.23	12.22	1184.133061	17	container	LMR200	0
LWA-112	5.94	1.71	1184.317363	6	container	LMR200	0
LWA-113	0.29	-2.88	1184.380076	3	container	LMR200	0
LWA-114	4.63	-5.49	1184.470155	7	container	LMR200	0
LWA-115	-0.71	-8.30	1184.398579	8	container	LMR200	0
LWA-116	4.11	-11.29	1184.414247	12	container	LMR200	0
LWA-117	-0.14	-15.96	1184.224281	16	container	LMR200	0
LWA-118	5.70	-19.03	1184.163738	20	container	LMR200	0
LWA-119	12.54	-19.85	1184.230369	23	container	LMR200	0
LWA-120	-0.58	-23.35	1183.945877	23	container	LMR200	0
LWA-121	8.71	-34.05	1183.930589	35	container	LMR200	7
LWA-122	15.04	-44.87	1183.609861	47	container	LMR200	7
LWA-123	3.89	-45.98	1183.897612	46	container	LMR200	6
LWA-124	4.53	-55.06	1184.116705	55	container	LMR200	6
LWA-125	5.48	-72.12	1184.019112	72	container	LMR200	6
LWA-126	13.25	-73.54	1183.997939	75	container	LMR200	6
LWA-128	0.81	-96.37	1183.914789	96	container	LMR200	6
LWA-129	-15.03	98.91	1184.274982	100	container	LMR200	2
LWA-130	-4.05	97.76	1184.085123	98	container	LMR200	2
LWA-131	-5.92	86.45	1184.531664	87	container	LMR200	2
LWA-132	-12.26	80.78	1184.607831	82	container	LMR200	2
LWA-133	-15.42	76.15	1184.585800	78	container	LMR200	3
LWA-134	-4.85	74.74	1184.435488	75	container	LMR200	2
LWA-135	-16.82	58.24	1184.045327	61	container	LMR200	3
LWA-136	-13.48	53.63	1183.926385	55	container	LMR200	3
LWA-137	-18.82	53.25	1184.047845	56	container	LMR200	3
LWA-138	-9.83	40.87	1183.798001	42	container	LMR200	3
LWA-139	-3.36	36.12	1183.720701	36	container	LMR200	2
LWA-140	-11.05	34.39	1183.814377	36	container	LMR200	3
LWA-141	-17.99	31.21	1183.900231	36	container	LMR200	3
LWA-142	-5.81	28.34	1183.768774	29	container	LMR200	0
LWA-143	-3.28	24.01	1183.768759	24	container	LMR200	0
LWA-144	-13.71	22.69	1183.831819	27	container	LMR200	0
LWA-145	-6.57	15.99	1183.971781	17	container	LMR200	0
LWA-146	-9.61	5.60	1184.030026	11	container	LMR200	0
LWA-147	-14.57	4.22	1184.027291	15	container	LMR200	0
LWA-148	-10.36	-6.65	1184.033955	12	container	LMR200	0
LWA-149	-9.75	-13.91	1184.087238	17	container	LMR200	0
LWA-150	-6.45	-21.93	1184.001021	23	container	LMR200	6
LWA-151	-18.10	-22.32	1184.049466	29	container	LMR200	5
LWA-152	-13.95	-29.41	1183.969392	33	container	LMR200	6
LWA-153	-9.32	-35.86	1184.008790	37	container	LMR200	6
LWA-154	-8.15	-44.28	1184.126375	45	container	LMR200	6
LWA-155	-3.57	-46.66	1184.080379	47	container	LMR200	6
LWA-156	-10.14	-51.83	1184.226008	53	container	LMR200	6
LWA-157	-8.27	-56.51	1184.148450	57	container	LMR200	6
LWA-158	-3.81	-80.33	1183.834580	80	container	LMR200	6
LWA-159	-11.40	-86.41	1183.821632	87	container	LMR200	6
LWA-160	-15.23	-99.48	1183.903041	101	container	LMR200	6
LWA-161	-35.16	100.32	1184.124869	106	container	LMR200	3
LWA-162	-21.94	82.38	1184.798732	85	container	LMR200	3
LWA-163	-36.33	74.89	1184.788966	83	container	LMR200	3
LWA-164	-19.82	65.47	1184.371652	68	container	LMR200	3
LWA-165	-34.63	52.84	1184.381817	63	container	LMR200	3
LWA-166	-20.15	43.59	1184.030482	48	container	LMR200	3
LWA-167	-28.94	35.07	1184.355219	45	container	LMR200	3
LWA-168	-34.32	31.35	1184.555658	46	container	LMR200	3
LWA-169	-29.29	26.87	1184.302905	40	container	LMR200	4
LWA-170	-36.96	19.63	1184.432216	42	container	LMR200	4
LWA-171	-24.84	16.30	1183.997842	30	container	LMR200	4
LWA-172	-23.65	7.71	1183.966412	25	container	LMR200	0
LWA-173	-36.42	6.11	1184.403911	37	container	LMR200	4
LWA-174	-19.40	4.16	1183.880639	20	container	LMR200	0
LWA-175	-30.78	3.34	1184.190689	31	container	LMR200	4
LWA-176	-27.68	-4.83	1184.114709	28	container	LMR200	4
LWA-177	-31.21	-9.31	1184.271912	33	container	LMR200	5
LWA-178	-19.31	-14.73	1184.075895	24	container	LMR200	0
LWA-179	-28.84	-16.24	1184.252464	33	container	LMR200	5
LWA-180	-34.97	-23.66	1184.193956	42	container	LMR200	5
LWA-181	-21.84	-25.98	1184.166440	34	container	LMR200	5
LWA-182	-26.43	-41.09	1184.174367	49	container	LMR200	6
LWA-183	-31.76	-41.37	1184.165004	52	container	LMR200	5
LWA-184	-18.91	-42.62	1184.119212	47	container	LMR200	6
LWA-185	-20.13	-49.10	1184.201388	53	container	LMR200	6
LWA-186	-35.10	-50.96	1184.113068	62	container	LMR200	6
LWA-187	-28.39	-60.95	1184.069276	67	container	LMR200	6
LWA-189	-30.01	-78.62	1183.951343	84	container	LMR200	6
LWA-190	-20.23	-79.01	1183.902493	82	container	LMR200	6
LWA-192	-27.18	-91.88	1184.041586	96	container	LMR200	6
LWA-193	-53.29	89.60	1184.199196	104	container	LMR200	3
LWA-194	-44.34	84.87	1184.302646	96	container	LMR200	3
LWA-195	-59.82	81.34	1184.390926	101	container	LMR200	3
